CustomerID,ProductID,ProductName,Category,PurchaseAmount,PurchaseDate
164,31,Evening Beauty,Health & Beauty,56.04,2024-01-12
100,20,Church Books,Books,243.23,2023-11-26
136,38,Important Clothing,Clothing,149.25,2023-01-05
47,5,Foreign Outdoors,Sports & Outdoors,31.39,2024-07-29
396,40,Guess Games,Toys & Games,92.31,2023-04-11
187,22,But Grocery,Grocery,28.49,2024-07-10
117,29,Worker Beauty,Health & Beauty,103.33,2023-08-13
232,50,Relate Grocery,Grocery,104.09,2024-10-09
335,30,Expect Books,Books,48.32,2023-01-24
341,32,Pressure Grocery,Grocery,142.73,2024-08-21
288,41,Cold Clothing,Clothing,210.18,2023-07-25
186,45,Father Electronics,Electronics,416.67125,2023-10-14
286,17,Management Electronics,Electronics,122.79,2024-09-23
263,9,Health Clothing,Clothing,10.06,2023-08-23
441,42,Accept Books,Books,46.65,2023-03-11
247,37,Down Electronics,Electronics,13.8,2023-07-06
298,1,Smile Automotive,Automotive,108.26,2024-10-10
219,44,Around Outdoors,Sports & Outdoors,203.85,2024-01-10
117,14,Full Kitchen,Home & Kitchen,23.02,2024-02-18
485,43,Over Games,Toys & Games,119.71,2024-01-26
389,4,Worker Electronics,Electronics,384.85,2024-04-24
67,22,But Grocery,Grocery,26.4,2024-03-13
248,9,Health Clothing,Clothing,28.22,2024-12-15
140,32,Pressure Grocery,Grocery,49.7,2023-08-16
230,34,Stand Automotive,Automotive,47.1,2023-03-17
20,41,Cold Clothing,Clothing,59.18,2023-09-21
319,15,Role Beauty,Health & Beauty,10.21,2023-01-30
311,49,Former Grocery,Grocery,12.26,2023-12-02
486,9,Health Clothing,Clothing,217.2,2024-09-21
500,4,Worker Electronics,Electronics,416.67125,2023-03-29
463,33,First Clothing,Clothing,155.31,2023-10-28
379,14,Full Kitchen,Home & Kitchen,19.62,2023-07-01
436,9,Health Clothing,Clothing,209.54,2023-07-08
230,30,Expect Books,Books,110.3,2023-12-06
489,15,Role Beauty,Health & Beauty,125.5,2023-08-03
147,41,Cold Clothing,Clothing,214.16,2023-05-13
183,16,Miss Outdoors,Sports & Outdoors,98.65,2023-09-21
76,48,Drug Kitchen,Home & Kitchen,29.09,2024-09-15
492,32,Pressure Grocery,Grocery,18.65,2023-11-09
126,45,Father Electronics,Electronics,339.5,2024-05-01
192,3,Create Supplies,Pet Supplies,45.77,2024-12-11
185,32,Pressure Grocery,Grocery,7.77,2024-09-13
8,48,Drug Kitchen,Home & Kitchen,165.61,2023-10-20
284,7,Dark Outdoors,Sports & Outdoors,27.7,2024-08-11
26,17,Management Electronics,Electronics,333.74,2024-02-22
180,24,Sign Supplies,Pet Supplies,17.0,2024-02-19
370,22,But Grocery,Grocery,43.28,2024-04-25
208,45,Father Electronics,Electronics,148.32,2024-09-05
187,9,Health Clothing,Clothing,48.14,2024-06-12
487,18,Police Outdoors,Sports & Outdoors,112.61,2023-03-26
200,48,Drug Kitchen,Home & Kitchen,45.33,2024-01-03
7,35,Seven Kitchen,Home & Kitchen,416.67125,2024-02-01
469,30,Expect Books,Books,238.88,2023-01-27
