CustomerID,ProductID,ProductName,Category,PurchaseAmount,PurchaseDate
439,32,Improve Books,Books,81.15,2023-08-17
750,24,Quite Automotive,Automotive,80.13,2023-06-24
433,39,How Beauty,Health & Beauty,87.75,2023-12-18
234,29,Back Automotive,Automotive,25.11,2023-06-09
629,7,Themselves Electronics,Electronics,88.99,2023-02-13
865,6,Teach Beauty,Health & Beauty,24.99,2024-08-25
605,41,Tv Games,Toys & Games,91.91,2023-03-08
520,10,Blue Clothing,Clothing,678.1,2024-05-30
954,15,Again Electronics,Electronics,292.18,2024-05-11
865,16,Cover Electronics,Electronics,86.55,2023-04-21
759,19,Large Electronics,Electronics,239.67,2023-06-24
265,23,Interview Games,Toys & Games,629.76,2024-05-03
166,16,Cover Electronics,Electronics,8.69,2024-12-03
320,36,Nothing Books,Books,126.87,2024-08-29
836,18,Usually Beauty,Health & Beauty,161.47,2024-09-23
227,21,Campaign Grocery,Grocery,503.52,2023-11-07
598,38,Trouble Games,Toys & Games,487.43,2023-04-10
595,43,Analysis Grocery,Grocery,653.45,2023-04-07
990,47,Stand Electronics,Electronics,85.1,2024-07-17
709,1,Difficult Electronics,Electronics,34.21,2024-01-02
318,28,Well Beauty,Health & Beauty,94.12,2023-12-30
543,3,Item Books,Books,697.19,2024-05-24
833,21,Campaign Grocery,Grocery,173.42,2024-02-29
999,23,Interview Games,Toys & Games,453.66,2023-11-25
430,15,Again Electronics,Electronics,491.04,2023-11-18
305,25,Relationship Supplies,Pet Supplies,444.06,2024-07-16
526,17,Officer Outdoors,Sports & Outdoors,613.76,2023-10-06
186,9,Finish Electronics,Electronics,96.81,2024-01-10
606,21,Campaign Grocery,Grocery,459.45,2024-06-24
338,2,Great Supplies,Pet Supplies,480.51,2023-07-04
662,37,Stuff Electronics,Electronics,267.72,2024-09-06
496,26,Until Books,Books,94.75,2024-06-10
88,23,Interview Games,Toys & Games,288.7,2023-10-26
373,49,Day Automotive,Automotive,134.71,2024-03-17
87,43,Analysis Grocery,Grocery,171.93,2024-08-29
980,16,Cover Electronics,Electronics,516.8,2023-03-07
90,34,Special Clothing,Clothing,58.01,2023-08-28
210,18,Usually Beauty,Health & Beauty,106.71,2023-09-07
928,50,Child Supplies,Pet Supplies,71.56,2024-02-20
211,14,Work Grocery,Grocery,148.91,2024-10-27
951,24,Quite Automotive,Automotive,641.94,2024-04-27
991,12,Traditional Outdoors,Sports & Outdoors,297.62,2023-01-28
55,8,Learn Beauty,Health & Beauty,593.27,2024-09-08
530,7,Themselves Electronics,Electronics,31.66,2023-12-25
725,28,Well Beauty,Health & Beauty,102.22,2023-10-07
244,36,Nothing Books,Books,503.8,2024-11-17
251,27,Station Automotive,Automotive,484.33,2023-08-12
998,37,Stuff Electronics,Electronics,51.51,2023-10-04
923,20,Much Supplies,Pet Supplies,329.4,2023-09-04
456,5,Director Electronics,Electronics,458.68,2023-04-07
88,46,Myself Grocery,Grocery,351.34,2024-06-26
239,30,Measure Games,Toys & Games,93.41,2024-03-18
892,38,Trouble Games,Toys & Games,193.42,2024-01-08
813,11,Kid Electronics,Electronics,250.41,2023-04-11
472,46,Myself Grocery,Grocery,120.06,2024-06-07
246,5,Director Electronics,Electronics,326.87,2023-05-05
721,11,Kid Electronics,Electronics,99.46,2024-09-26
704,25,Relationship Supplies,Pet Supplies,325.58,2024-11-11
538,24,Quite Automotive,Automotive,58.42,2024-02-17
819,46,Myself Grocery,Grocery,574.07,2024-08-07
528,35,Thousand Grocery,Grocery,38.27,2024-05-06
843,8,Learn Beauty,Health & Beauty,186.91,2024-12-06
628,22,Beautiful Supplies,Pet Supplies,154.59,2023-02-04
590,39,How Beauty,Health & Beauty,224.54,2023-08-19
580,50,Child Supplies,Pet Supplies,155.63,2023-10-14
902,14,Work Grocery,Grocery,88.52,2024-04-22
650,18,Usually Beauty,Health & Beauty,677.64,2024-05-10
422,42,Reality Games,Toys & Games,170.2,2023-08-16
628,2,Great Supplies,Pet Supplies,168.95,2023-05-15
533,17,Officer Outdoors,Sports & Outdoors,54.35,2024-09-05
542,19,Large Electronics,Electronics,94.97,2024-08-14
599,11,Kid Electronics,Electronics,12.72,2023-01-14
363,47,Stand Electronics,Electronics,15.09,2024-05-10
401,29,Back Automotive,Automotive,345.41,2023-04-23
643,15,Again Electronics,Electronics,133.74,2023-12-11
951,7,Themselves Electronics,Electronics,630.27,2023-09-23
818,5,Director Electronics,Electronics,157.52,2024-10-19
1,9,Finish Electronics,Electronics,343.27,2023-07-15
